Product Name,Category,Description,Provider,Delivery Mode,Sales Region,Price
 新华融翼 ," 甄选 ,  融媒生产 ,  H5 ,  图文 ",新华融翼系统是专业的融媒内容制作与管理平台。平台针对政府、企业、媒体、学校等客户提供融媒体一站式解决方案。解决客户内容生产发布效率低、内容生产质量低、内容传播缺乏数据支持、技术力量薄弱、协同困难等问题。系统以轻量化、智能化内容生产和数据化、流程化内容管理为切入口，为客户提供开箱即用，高效易用的融媒内容制作与管理平台。,天翼云甄选商城,SAAS类,全国,3915
 新华融翼作品流量 ," 甄选 ,  融媒生产 ,  H5 ,  图文 ","新华融翼系统是专业的融媒内容制作与管理平台。平台针对政府、企业、媒体、学校等客户提供融媒体一站式解决方案。解决客户内容生产发布效率低、内容生产质量低、内容传播缺乏数据支持、技术力量薄弱、协同困难等问题。系统以轻量化、智能化内容生产和数据化、流程化内容管理为切入口，为客户提供开箱即用，高效易用的融媒内容制作与管理平台。
本商品为系统增值服务，需购买新华融翼系统服务后购买此增值服务。",天翼云甄选商城,SAAS类,全国,136
 园区管理系统解决方案 ," 甄选 ,  排队取号 ,  车辆预约 ,  园区 ,  排队系统 ,  车辆管理 ",园区管理系统解决方案是提供园区智能管理的解决方案，数字化园区仓库和月台资源，以订单/运单驱动来合理利用园区资源，提供园区车辆预约排队管理，规范化园区进出管理，让车辆在园区内有序行驶，保证园区运营更高效。,天翼云甄选商城,线下交付类,全国,3500
 翼数聚蜂巢解决方案 ," 甄选 ,  数字化基础 ,  数据管理 ",翼数聚蜂巢旨在帮助组织方便快速地实现数据、应用、服务间的灵活流转与敏捷集成。中台基于 API 化解耦、微服务化、能力化的三层架构设计理念，帮助企业方便快速地实现数据、应用、服务间的灵活流转与敏捷集成，赋能企业技术创新与数字化转型，提升用户体验，助力业务创新。,天翼云甄选商城,线下交付类,全国,2500
 云智眸 ," 甄选 ,  数字化管理 ,  协同办公 ",云智眸可基于互联网/专网独立或混合部署的视频会议服务，致力于为各行业广大用户提供高清、易用、稳定的视频协作服务。产品具有动态扩容、灵活接入、价格低廉、使用便捷等特点。可以使用专用产品、软件客户端满足跨域视频沟通的需求。,天翼云甄选商城,SAAS类,全国,15
 翼劳动教育SaaS云平台 ," 甄选 ,  劳动教育 ,  中小学劳动教育 ,  劳动教育课程 ,  劳动教育SaaS化服 ",翼劳动教育SAAS云平台面向教育局与学校，提供劳动教育课程的课件设计工具、教学工具、评估评价工具、档案资料管理工具，以及过程监管、数据分析等工具的一站式劳动教育服务平台，同时提供配套的实践物料工具包。,天翼云甄选商城,线下交付类,全国,1
 翼恢复（山东版）解决方案 ," 甄选 ,  数据安全 ,  存储与备份 ,  容灾备份 ,  数字化基础 ,  数据管理 ",翼恢复（山东版）解决方案是基于多年灾备领域经验，为政务云、专有云、数据中心等应用场景提供一体化云灾备服务，满足您对业务数据安全保护、业务连续性保障、灾难应急、演练与快速恢复，以及灾备集中化管理与运营等需求。,天翼云甄选商城,线下交付类,山东省,205
 翼云快销（企业起订版） , 甄选 ,翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表。,天翼云甄选商城,SAAS类,全国,100
 翼德金制造企业管理平台 ," 甄选 ,  数字化经营 ,  生产管控 ",翼德金制造企业管理平台主要包括基础版、标准版和专业版，提供边缘网关服务和人工服务，实现设备数据互联互通，，为企业提供山上云建设、咨询、材料撰写等服务，实现基础、设计、生产、物流、销售、服务等核心数据和业务上云。助力企业实现企业上云。,天翼云甄选商城,线下交付类,全国,1000
 翼云快销（小微起订版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",翼云快销是一站式的云营销平台，帮助企业构建必备的智能营销工具。通过快速创建智能云名片、一键生成H5活动等多种营销工具，助力企业简单、高效的上线营销活动，让每个营销人员高水准、标准化的推广产品和服务。,天翼云甄选商城,SAAS类,全国,20
 翼云快销（小微基础版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",云快销是一站式的云营销平台，帮助企业构建必备的智能营销工具。通过快速创建智能云名片、一键生成H5活动等多种营销工具，助力企业简单、高效的上线营销活动，让每个营销人员高水准、标准化的推广产品和服务。,天翼云甄选商城,SAAS类,全国,15
 翼世纪云MES生产执行系统 ," 甄选 ,  MES系统 ,  智能制造 ,  工业互联网 ","翼世纪云MES生产执行系统主要实现制造型企业生产车间透明化和规范化，实现生产管理执行过程管理（人、机、料、法、环）、设备管理、设备数据互联互通、能耗和环境、仓储管理、产品质量管理和质量追溯等功能。
同时世纪云系统支持省、市级智能车间申报和两化融合申报。",天翼云甄选商城,线下交付类,全国,1000
 翼企业服务 ," 甄选 ,  办公协同 ,  流程审批 ,  企业OA ,  数据可视化 ,  数据管理 ,  移动办公 ,  私有化部署 ,  数字化管理 ,  协同办公 ",翼企业服务专注于企业经营管理的产品，包括流程审批、数据统计分析、移动办公等，帮助广大用户降低管理成本，提升生产和决策效率。,天翼云甄选商城,SAAS类,全国,85
 翼云快销（企业标准版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表，此外还支持分层管理，移动端管理活动。,天翼云甄选商城,SAAS类,全国,2160
 翼云快销（企业高级版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表，此外还支持分层管理，移动端管理活动。,天翼云甄选商城,SAAS类,全国,2880
 翼云快销（商客基础版） , 甄选 ,"翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易,平台还提供多类型多玩法模板。",天翼云甄选商城,SAAS类,全国,50
 翼云快销（企业视频版） , 甄选 ,翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表。,天翼云甄选商城,SAAS类,全国,1999
 云备份-基础版 ," 甄选 ,  定时备份 ,  跨域备份 ,  云备份 ,  数据定时备份，实时备 ,  本地到云备份 ,  数据迁移 ",【限时活动】现在下单可额外赠送300G云端备份空间及授权，合计获得800G云端备份空间及授权。云备份-基础版是企业级云备份服务，为企业提供安全数据库备份、应用系统/文档/虚拟环境备份等服务；助力企业快速轻松完成云到云、云到异地的备份建设，降低运维成本和工作强度。,天翼云甄选商城,SAAS类,全国,300
 云备份-高级版 ," 甄选 ,  数据安全 ,  存储与备份 ,  容灾备份 ",云备份-高级版是一款面向中小企业和个人用户提供数据保护和数据同步服务功能的数据服务平台。避免用户在遭受勒索病毒、逻辑故障、机器故障时可能面临数据丢失风险，同时提供多机器（桌面、云桌面或服务器）之间快捷的数据同步。,天翼云甄选商城,SAAS类,全国,1250
 翼云智眸视频会议解决方案 ," 甄选 ,  数字化管理 ,  协同办公 ",翼云智眸视频会议解决方案是部署于云端的产品，提供高清视频会议媒体流分发、会议创建和管理等功能。该云视频会议产品能够兼容多种终端（PC、安卓客户端、iOS客户端），满足不同行业和不用场景的应用需求。,天翼云甄选商城,线下交付类,全国,200
 平凯数据库 ," 省级甄选 ,  数据库 ,  TiDB ,  分布式数据库 ,  NewSQL ,  国产数据库 ,  PingCAP ","平凯数据库解决方案是支持OLTP、OLAP 的融合型HTAP分布式数据库解决方案。具备领先水平的扩/缩容、金融级高可用能力，兼容 MySQL 5.7 协议/生态，平凯数据库适合强一致、高并发、高可用、数据规模较大等业务场景。
",天翼云甄选商城,线下交付类,云南省,7500
 智慧看店 ," 甄选 ,  数字化经营 ,  营销管理 ",智慧看店是基于服务商弹性云计算及强大带宽资源，采用人脸识别技术，面向零售行业用户提供AI门店经营数据服务。智慧看店提供客流分析，客户身份识别以及区域热力图等功能，为客户店铺的经营提供良好的决策依据以及精准营销能力。,天翼云甄选商城,SAAS类,全国,60
 智慧食堂解决方案 , 甄选 ,智慧食堂是针对食堂模式推出的全新解决方案，包含预订点餐、会员管理、补贴管理、商品管理、数据报表等功能，有效满足食堂经营管理场景，提升用户的就餐效率和满意度。,天翼云甄选商城,线下交付类,全国,1000
 翼电子教室 ," 甄选 ,  多媒体教学软件 ,  教学管理软件 ,  电子教室  教学软件 ",翼电子教室是一款功能全面、安全可靠、性能优越的教学管理软件。它能够全面协助教师进行丰富的课堂互动教学，实时评测学生课堂学习效果，并且提供多样化的班级管理功能，真正实现了个性化自主学习的实践与创新。,天翼云甄选商城,线下交付类,全国,1200
 翼云快销（商客入门版） ," 甄选 ,  数字化经营 ,  营销管理 ","翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易,平台还提供多类型多玩法模板。",天翼云甄选商城,SAAS类,全国,30
 智慧看店 (月包) ," 甄选 ,  数字化经营 ,  营销管理 ",智慧看店是基于服务商弹性云计算及强大带宽资源，采用人脸识别技术，面向零售行业用户提供AI门店经营数据服务。智慧看店提供客流分析，客户身份识别以及区域热力图等功能，为客户店铺的经营提供良好的决策依据以及精准营销能力。,天翼云甄选商城,SAAS类,全国,5
 翼云机一体化解决方案(HKC) ," 甄选 ,  云电脑一体机 ,  数字化管理 ,  协同办公 ",翼云机一体化解决方案，云桌面结合云一体化服务，做到将桌面及数据与终端分离，为客户提供安全可靠、高效便捷、低成本的办公、生产、生活服务,天翼云甄选商城,线下交付类,全国,32
 翼创云灾备系统解决方案 ," 甄选 ,  容灾 ,  备份 ,  数据安全 ,  数字化基础 ,  数据管理 ",翼创云灾备系统解决方案是一款基于磁盘块与文件系统融合技术的数据备份容灾解决方案，集成传统备份、虚拟化无代理、智能CDM、CDP等所有功能融合为一体的备份容灾系统；可为企业级用户提供在私有云、公有云、混合云以及传统IT环境下的文件/数据库/系统的备份与恢复、异地副本、数据归档、CMD、镜像、多历史点快照、IO级持续数据保护等功能，集传统备份、容灾、应急接管、灾备演练、开发测试等功能于一体的融合数据保护解决方案。 ,天翼云甄选商城,线下交付类,全国,60
 翼智能视频分析预警服务解决方案（河南版） , 甄选 ,翼智能视频分析预警服务解决方案是融合智能视频、人工智能、物联网、轻业务应用能力，提供标准化场景服务（智慧看店、平安校园、防溺水、防霸凌、深林防火、智慧工地、基层治理等10多个标准化场景）、云边端算力算法协同能力、基础物联网、视频汇聚能力、多态化能力接入与开放平台。面向零售、餐饮、快消、医药、社会治理、校园等行业用户提供的一套精准的、低成本的视频、AI、大数据、物联网一体化解决方案，实现数据统一化、集中式管控。,天翼云甄选商城,线下交付类,河南省,50
 翼定制建站解决方案 ," 甄选 ,  定制建站 ,  门户网站 ,  医院网站 ,  企业官网 ,  学校网站 ,  合规整改 ,  安全整改 ,  响应式HTML5 ,  微官网 ,  等保2.0 ,  数字化基础 ,  网络安全 ",基于新一代技术标准下的互联网门户解决方案，可用于企业官网、医院/学校/机关机构门户网站、集团站群、电商网站、微官网等涉及web应用的定制化服务。,天翼云甄选商城,线下交付类,全国,1
 翼备份（SaaS版）人工服务支持 ," 甄选 ,  定时备份 ,  跨域备份 ,  容灾 ,  本地备份 ,  应用接管 ,  跨云备份 ,  实时备份 ,  数据定时备份，实时备 ,  本地到云备份 ,  数据迁移 ,  数字化基础 ,  数据管理 ",翼备份SaaS版是企业级云备份服务，为企业提供安全数据库备份、应用系统/文档/虚拟环境备份等服务；助力企业快速轻松完成云到云、本地到云的异地备份建设，降低运维成本和工作强度。,天翼云甄选商城,SAAS类,全国,10
 翼备份（SaaS版）30G ," 甄选 ,  数据安全 ,  异地备份 ,  云备份 ,  本地到云备份 ,  存储与备份 ,  容灾备份 ,  数字化基础 ,  数据管理 ",翼备份SaaS版是企业级云备份服务，为企业提供安全数据库备份、应用系统/文档/虚拟环境备份等服务；助力企业快速轻松完成云到云、本地到云的异地备份建设，降低运维成本和工作强度。,天翼云甄选商城,SAAS类,全国,15
 翼备份（SaaS版）50G ," 甄选 ,  数据安全 ,  异地备份 ,  云备份 ,  本地到云备份 ,  存储与备份 ,  容灾备份 ",翼备份SaaS版是企业级云备份服务，为企业提供安全数据库备份、应用系统/文档/虚拟环境备份等服务；助力企业快速轻松完成云到云、本地到云的异地备份建设，降低运维成本和工作强度。,天翼云甄选商城,SAAS类,全国,29
 翼备份解决方案 ," 甄选 ,  中小企业数字化 ,  定时备份 ,  跨域备份 ,  应用接管 ,  跨云备份 ,  实时备份 ,  应用容灾 ,  业务容灾 ,  数据迁移 ,  云备份 ,  本地到云备份 ,  数字化基础 ,  数据管理 ",翼备份解决方案是帮助用户解决业务连续性的整体方案，采用两地三中心架构，包括数据、网络等多个层面，同时包括定时备份、实时备份、应用容灾、业务容灾及相关配套的网络设备，向用户提供多维度的数据备份服务。,天翼云甄选商城,线下交付类,全国,1100
 翼备份（SaaS版）100G ," 甄选 ,  数据安全 ,  异地备份 ,  云备份 ,  本地到云备份 ,  存储与备份 ,  容灾备份 ,  数字化基础 ,  数据管理 ",翼备份SaaS版是企业级云备份服务，为企业提供安全数据库备份、应用系统/文档/虚拟环境备份等服务；助力企业快速轻松完成云到云、本地到云的异地备份建设，降低运维成本和工作强度。,天翼云甄选商城,SAAS类,全国,49
 云管家2.0（专业版） ," 甄选 ,  数据安全 ,  存储与备份 ,  容灾备份 ",云管家2.0是一款面向中小企业和个人用户提供数据保护和数据同步服务功能的数据服务平台。避免用户在遭受勒索病毒、逻辑故障、机器故障时可能面临数据丢失风险，同时提供多机器（桌面、云桌面或服务器）之间快捷的文件同步。,天翼云甄选商城,SAAS类,全国,15000
 云管家2.0（专业版） ," 甄选 ,  数据安全 ,  存储与备份 ,  容灾备份 ",数立方是一款面向中小企业和个人用户提供数据保护和数据同步服务功能的数据服务平台。避免用户在遭受勒索病毒、逻辑故障、机器故障时可能面临数据丢失风险，同时提供多机器（桌面、云桌面或服务器）之间快捷的数据同步。,天翼云甄选商城,SAAS类,全国,1250
 云管家2.0 ," 甄选 ,  数据安全 ,  存储与备份 ,  数字化基础 ,  数据管理 ",云管家2.0是一款面向中小企业和个人用户提供数据保护和数据同步服务功能的数据服务平台。避免用户在遭受勒索病毒、逻辑故障、机器故障时可能面临数据丢失风险，同时提供多机器（桌面、云桌面或服务器）之间快捷的文件同步。,天翼云甄选商城,SAAS类,全国,29
 WPS 365 （服务） ," 甄选 ,  企业上云 ,  文档协同管理 ,  私有化部署 ",WPS 365 是金山办公面向企业推出的专业版本，基于WPS Office 客户端 ，金山文档等多种云端一体化的办公工具，构建了企业云文档中心，实现企业全员的云端办公和协作。,天翼云甄选商城,线下交付类,全国,3000
 翼云计算和大数据实训服务解决方案（宁夏版） , 甄选 ,大数据实验平台通过完整的行业大数据处理流程，帮助学生系统性地学习大数据相关技术。包括数据采集、存储、处理、分析和存储管理等环节，每个环节都有相应的课程和实验内容，帮助学生在学习过程中逐步掌握相关技能，让学生不仅能够掌握大数据技术的每个环节，还能理解整个大数据处理流程的全貌，最终能够在实际业务中应用所学知识。,天翼云甄选商城,线下交付类,全国,30000
 翼备份（SaaS版）扩容包 ," 甄选 ,  中小企业数字化 ,  定时备份 ,  跨域备份 ,  应用接管 ,  跨云备份 ,  实时备份 ,  应用容灾 ,  业务容灾 ,  数据迁移 ,  云备份 ,  本地到云备份 ,  数字化基础 ,  数据管理 ,  数字化基础 ,  数据管理 ",翼备份SaaS版是企业级云备份服务，为企业提供安全数据库备份、应用系统/文档/虚拟环境备份等服务；助力企业快速轻松完成云到云、本地到云的异地备份建设，降低运维成本和工作强度。,天翼云甄选商城,SAAS类,全国,60
 智慧看店（CZDW版）【福建专区】 , 甄选 ,智慧看店是基于服务商弹性云计算及强大带宽资源，采用人脸识别技术，面向零售行业用户提供AI门店经营数据服务。智慧看店提供客流分析，客户身份识别以及区域热力图等功能，为客户店铺的经营提供良好的决策依据以及精准营销能力。,天翼云甄选商城,SAAS类,福建省,10
 翼运维 ," 省级甄选 ,  网站优化 ,  私有化部署 ,  网络安全 ,  监控工具 ,  堡垒机 ,  防火墙 ,  数字化基础 ",翼运维为企业、政府提供的一站式网络安全、防护、运维等解决方案，通过端、云的协同， 赋能企业安全从而实现防病毒、防勒索、防入侵、网络行为分析，形成边界防御与威胁检测处置用户局域网络安全，运维及解决等能力。包括企业资产发现、公告扫描、远程故障发现等运维能力，并显著减少企业运维成本和人员的投入，保障企业在新型网络环境下快速闭环运维问题。在发展企业用户的同时可以辅助企业进行业务上云。,天翼云甄选商城,SAAS类,云南省,10
 翼企云 ," 甄选 ,  办公协同 ,  数据管理 ,  私有化部署 ,  文档协同管理 ,  非结构化数据管理 ,  灵活部署形态 ,  内容知识平台 ,  专属云 ,  私有云 ,  文档管理 ",私密云针对企业文件管理在数据不断增长的情况下，造成企业、政府文档管理低效而开发的文档管理系统，在不改变用户使用习惯的前提下，为企业、政府提供高效文档管理利器，力助企业以高性价比的解决方式实现文件的无限存储、共享及协作，便捷移动办公，大幅提高工作效率！,天翼云甄选商城,SAAS类,全国,10
 翼迈蓝AI应用解决方案 ," 甄选 ,  智能算力 ,  算力管理 ,  大模型训练 ,  算力集成服务 ,  大模型推理 ,  AI ,  虚拟数字人 ,  AI解决方案 ,  GPU虚拟化 ",翼迈蓝AI应用解决方案，提供面向高校、政企等人工智能应用场景的行业应用解决方案，提供面向不同规模的AI模型训练推理算力集成服务，提供行业AI应用和解决方案的开发和交付。,天翼云甄选商城,线下交付类,全国,3530
 翼AIGC端到端支持服务解决方案 ," 甄选 ,  AIGC ",翼AIGC端到端支持服务可为客户提供基于大模型训练推理领域的技术能力支撑，整合AIGC领域端到端五大智能服务，为客户提供智慧网络、智能存储、智能并行计算、智行平台、智力大模型于一体的端到端优化服务。,天翼云甄选商城,线下交付类,全国,7520
 翼天行企业服务 ," 甄选 ,  裸金属 ,  云渲染 ,  服务器 ,  算力 ",翼天行企业服务解决方案主要服务于基础渲染服务、中级渲染服务、高级渲染服务、AI推理服务、大模型训练等多种应用场景。,天翼云甄选商城,线下交付类,全国,2000
 翼业务连续性解决方案 ," 甄选 ,  业务连续性 ,  云灾备 ,  迁移 ,  容灾 ",翼业务连续性解决方案是为企事业客户量身定制打造的服务，旨为企业或团队提供安全的本地及云端双重数据存储功能且拥有历史时间点数据回溯能力，致力于解决众多企业对于业务中断、快速恢复、业务连续性要求高等困扰。,天翼云甄选商城,线下交付类,全国,1700
 翼企服解决方案 ," 甄选 ,  数字化经营 ,  营销管理 ",翼企服解决方案应用大数据精准的数据定向能力，在朋友圈、抖音、视频号等渠道提供丰富的推广形态，助力客户实现从品牌活动/政策通知、商品宣传、公众号门店推广、收集销售/调查线索等多种内容的推广，为客户达成营销推广的目标；同时构建企业私域流量和致力于解决企业从“线索-营销-管理-风控”全流程的所有问题，以业绩为目标的精细化客户管理系统，翼企服解决方案致力于为客户提供从获客到客户管理的综合解决方案。,天翼云甄选商城,线下交付类,全国,10
 翼D2000云桌面解决方案 ," 甄选 ,  云桌面产品 ,  数字化管理 ,  协同办公 ",产品采用飞腾、兆芯处理器构建，作为终端载体，具备灵活访问，多重安全验证、节能省电、使用简单、节约维护成本、集中管理等特性;适用行业运营商、金融、政府、教育等行业。,天翼云甄选商城,线下交付类,全国,200
  翼云快销（企业入门版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ,  数字化经营 ,  营销管理 ",翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表。,天翼云甄选商城,SAAS类,全国,120
 翼云快销（小微入门版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",云快销是一站式的云营销平台，帮助企业构建必备的智能营销工具。通过快速创建智能云名片、一键生成H5活动等多种营销工具，助力企业简单、高效的上线营销活动，让每个营销人员高水准、标准化的推广产品和服务。,天翼云甄选商城,SAAS类,全国,10
 翼云快销（小微特惠版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",云快销是一站式的云营销平台，帮助企业构建必备的智能营销工具。通过快速创建智能云名片、一键生成H5活动等多种营销工具，助力企业简单、高效的上线营销活动，让每个营销人员高水准、标准化的推广产品和服务。,天翼云甄选商城,SAAS类,全国,8
 翼云快销（企业基础版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表，此外还支持分层管理，移动端管理活动。,天翼云甄选商城,SAAS类,全国,1200
 数字化转型综合解决方案（中小企业数字化转型专版） ," 甄选 ,  工业互联网平台 ",数字化转型综合解决方案包含星级上云服务、平台建设、咨询服务等内容，综合考虑企业的业务需求、技术能力和市场环境等多个方面，是一种全面的、系统的解决方案，帮助企业实现数字化转型，提升竞争力。,天翼云甄选商城,线下交付类,四川省,100